run_id,Acidobacteria,Actinobacteria,Bacteroidetes,Candidatus_Cloacimonetes,Candidatus_Melainabacteria,Chlamydiae,Chloroflexi,Cyanobacteria,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Lentisphaerae,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Unassigned,Verrucomicrobia,phenotype
SRR5983372,0.000189843,0.007783579,0.457522544,0,0,9.49E-05,0,9.49E-05,0,0,0.319221642,0.000379687,0,0,0,0,0.034171808,0,0,0,0.17978168,0.000759374,0
SRR5983374,0.000223964,0.014557671,0.561030235,0,0,0.000223964,0.000223964,0.000447928,0,0.000895857,0.184770437,0.002911534,0,0,0,0,0.054199328,0.000223964,0,0,0.180067189,0.000223964,1
SRR5983375,0,0.020833333,0.219338657,0,0,0,0.000102375,5.12E-05,0,0.000153563,0.613278051,0.000307125,5.12E-05,0,0.000511876,0,0.007371007,0.000255938,0,0.00020475,0.136056511,0.001433251,1
SRR5983376,0,0.013785947,0.391194782,0,0,0,0,0,0,0.000296472,0.474799881,0.000148236,0,0.000148236,0,0.001037652,0.008745924,0.000148236,0.000296472,0,0.108508746,0.000592944,0
SRR5983377,0,0.008612735,0.364195632,0,0,0,0,0,0,0.001230391,0.453706552,0.000307598,0.000615195,0,0,0,0.001537988,0.000615195,0.000307598,0,0.168255921,0.000615195,1
SRR5983378,7.89E-05,0.009710271,0.432699139,0,0,0,0.000157891,0.000315781,0,0,0.260203679,0.000236836,0,0,0,0,0.040419989,0.000157891,0,7.89E-05,0.254045946,0.001894687,1
SRR5983379,0,0.00252958,0.607996736,0,0.000326397,0,0,0.025295798,0,0.000571195,0.228233374,0,0,0,0,0,0.011505508,0,0,8.16E-05,0.10501836,0.018278254,0
SRR5983380,0.000242116,0.025543248,0.048786393,6.05E-05,0,0,0.000181587,6.05E-05,0,0.000786877,0.796198777,0.000544761,0.000181587,0,0.000484232,0.002784335,0.045517826,0.000121058,0,0.008231947,0.067429332,0.002784335,0
SRR5983381,0,0.002203857,0.590633609,0,0,0,0,0,0,0.000275482,0.09651056,9.18E-05,0,0,0,0,0.033700643,0,0,0,0.275849403,0.000642792,1
SRR5983382,0,0.016733987,0.723023658,0,0,0,0.000577034,0,0,0,0.171090594,0,0,0,0,0,0.035487594,0,0,0,0.052510098,0.000288517,1
SRR5983383,0,0.018983051,0.448474576,0,0,0,0,0,0,0.002033898,0.372881356,0.003050847,0,0.000338983,0,0,0.028474576,0,0,0,0.125084746,0.000338983,1
SRR5983384,0.000342349,0.00296702,0.513180418,0,0,0,0,0,0,0.000114116,0.191030469,0.000228232,0,0,0,0,0.045760584,0.000228232,0,0,0.245577998,0.000570581,1
SRR5983385,0,0.035553047,0.213882619,0,0,0,0,0.000564334,0,0,0.638261851,0,0.000564334,0,0.000564334,0,0.009029345,0.001128668,0,0.001128668,0.097629797,0.001693002,1
SRR5983386,0,0.005557815,0.534770232,0,0,0,0,0.000271113,0,0.000135556,0.230581537,0.000135556,0,0.000135556,0,0,0.009760065,0.000135556,0,0.000135556,0.215670327,0.002711129,1
SRR5983387,0,0.011927575,0.660014538,0,0,0,3.30E-05,9.91E-05,0,0.000363444,0.180202207,3.30E-05,0,3.30E-05,0,0,0.011828454,3.30E-05,0,0,0.135036014,0.000396485,1
SRR5983388,0,0.001054852,0.456559264,0,0,0,0,0.00067127,0,9.59E-05,0.086593786,0,0,0,0,0,0.124184887,0,0,0,0.330648255,9.59E-05,1
SRR5983389,4.94E-05,0.0008899,0.807534484,0,0,0,0,0,0,0,0.068670589,0,0,0,0,0,0.009838335,0,0,0,0.112522865,0.000494389,1
SRR5983390,4.76E-05,0.007431402,0.257383765,0,0,0,4.76E-05,0.000190549,0,0,0.454744665,9.53E-05,0,0,0,0,0.043873857,9.53E-05,0,4.76E-05,0.23285061,0.003191692,0
SRR5983391,0,0.006040106,0.51534187,0,0,0,4.83E-05,9.66E-05,0,0.000483209,0.28069582,0,4.83E-05,0,9.66E-05,0,0.002609326,0,0,0,0.193331723,0.001208021,1
SRR5983392,0,0.000746906,0.482127614,0,0,5.34E-05,5.34E-05,0.000480154,0,0,0.142979087,0,0,0,0,0,0.074477166,0,5.34E-05,0,0.298868971,0.000160051,1
SRR5983393,7.47E-05,0.003286525,0.629743053,0,0,0,0,7.47E-05,0,0.000298775,0.111443083,0,0,0,0.000149388,0,0.007768151,0.000149388,0,0,0.246265312,0.000746938,1
SRR5983394,0,0.005744346,0.634901439,0,0,0,0,0,0,0.000120934,0.157757891,0.000120934,0,6.05E-05,0,0,0.005744346,6.05E-05,0.000120934,0,0.195065909,0.000302334,1
